"genus","class_itis","family_itis","genus_itis","kingdom_itis","order_itis","phylum_itis","subkingdom_itis","class_tsn","family_tsn","genus_tsn","kingdom_tsn","order_tsn","phylum_tsn","subkingdom_tsn","species_itis","species_tsn","division_itis","division_tsn","infrakingdom_itis","subdivision_itis","infrakingdom_tsn","subdivision_tsn","subclass_itis","superdivision_itis","subclass_tsn","superdivision_tsn","variety_itis","variety_tsn","suborder_itis","subphylum_itis","suborder_tsn","subphylum_tsn","infraclass_itis","subfamily_itis","superfamily_itis","superorder_itis","superphylum_itis","infraclass_tsn","subfamily_tsn","superfamily_tsn","superorder_tsn","superphylum_tsn"
"Planothidium","Bacillariophyceae","Achnanthidiaceae","Planothidium","Chromista","Achnanthales",NA,"Harosa","2287","590791","590854","630578","590746",NA,"969910",NA,NA,"Ochrophyta","969917","Halvaria",NA,"969912",NA,"Bacillariophycidae","Heterokonta","969921","969914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Psammothidium","Bacillariophyceae","Achnanthidiaceae","Psammothidium","Chromista","Achnanthales",NA,"Harosa","2287","590791","590852","630578","590746",NA,"969910",NA,NA,"Ochrophyta","969917","Halvaria",NA,"969912",NA,"Bacillariophycidae","Heterokonta","969921","969914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Achnanthidium","Bacillariophyceae","Achnanthidiaceae","Achnanthidium","Chromista","Achnanthales",NA,"Harosa","2287","590791","590864","630578","590746",NA,"969910",NA,NA,"Ochrophyta","969917","Halvaria",NA,"969912",NA,"Bacillariophycidae","Heterokonta","969921","969914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eucocconeis","Bacillariophyceae","Achnanthidiaceae","Eucocconeis","Chromista","Achnanthales",NA,"Harosa","2287","590791","590837","630578","590746",NA,"969910",NA,NA,"Ochrophyta","969917","Halvaria",NA,"969912",NA,"Bacillariophycidae","Heterokonta","969921","969914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amphipleura","Bacillariophyceae","Amphipleuraceae","Amphipleura","Chromista","Naviculales",NA,"Harosa","2287","590786","4575","630578","590737",NA,"969910",NA,NA,"Ochrophyta","969917","Halvaria",NA,"969912",NA,"Bacillariophycidae","Heterokonta","969921","969914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Frustulia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Frustulia operculata","2449",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anomoeoneis","Bacillariophyceae","Anomoeoneidaceae","Anomoeoneis","Chromista","Cymbellales",NA,"Harosa","2287","590784","590825","630578","590753",NA,"969910",NA,NA,"Ochrophyta","969917","Halvaria",NA,"969912",NA,"Bacillariophycidae","Heterokonta","969921","969914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bacillaria","Bacillariophyceae","Bacillariaceae","Bacillaria","Chromista","Bacillariales",NA,"Harosa","2287","572758","5300","630578","590751",NA,"969910",NA,NA,"Ochrophyta","969917","Halvaria",NA,"969912",NA,"Bacillariophycidae","Heterokonta","969921","969914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cylindrotheca","Bacillariophyceae","Bacillariaceae","Cylindrotheca","Chromista","Bacillariales",NA,"Harosa","2287","572758","5316","630578","590751",NA,"969910",NA,NA,"Ochrophyta","969917","Halvaria",NA,"969912",NA,"Bacillariophycidae","Heterokonta","969921","969914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Denticula","Bacillariophyceae","Bacillariaceae","Nitzschia","Chromista","Bacillariales",NA,"Harosa","2287","572758","5070","630578","590751",NA,"969910","Nitzschia denticula","5227","Ochrophyta","969917","Halvaria",NA,"969912",NA,"Bacillariophycidae","Heterokonta","969921","969914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hantzschia","Bacillariophyceae","Bacillariaceae","Nitzschia","Chromista","Bacillariales",NA,"Harosa","2287","572758","5070","630578","590751",NA,"969910","Nitzschia hantzschiana","5238","Ochrophyta","969917","Halvaria",NA,"969912",NA,"Bacillariophycidae","Heterokonta","969921","969914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nitzschia",NA,"Nitzschiaceae",NA,NA,NA,NA,NA,NA,"5069",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tryblionella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitzschia tryblionella var. debilis","5272",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brachysira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anomoeneis serians var. brachysira","4125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amphora","Chrysophyceae","Chrysococcaceae","Chrysococcus","Chromista","Chromalinales",NA,"Chromista","1448","1746","1751","630578","1714",NA,"590735","Chrysococcus amphora","1761","Chrysophyta","1447",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cymbella","Bacillariophyceae","Cymbellaceae",NA,"Chromista","Cymbellales",NA,"Harosa","2287","4704",NA,"630578","590753",NA,"969910",NA,NA,"Ochrophyta","969917","Halvaria",NA,"969912",NA,"Bacillariophycidae","Heterokonta","969921","969914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diadesmis","Bacillariophyceae","Diadesmidaceae","Diadesmis","Chromista","Naviculales",NA,"Harosa","2287","590796","590840","630578","590737",NA,"969910",NA,NA,"Ochrophyta","969917","Halvaria",NA,"969912",NA,"Bacillariophycidae","Heterokonta","969921","969914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ctenophora","Hydrozoa","Zancleidae","Ctenaria","Animalia","Anthoathecatae","Cnidaria","Radiata","48739","49268","49275","202423","718925","48738","914153","Ctenaria ctenophora","49276",NA,NA,NA,NA,NA,NA,"Hydroidolina",NA,"718924",NA,NA,NA,"Capitata","Medusozoa","613022","718920",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diatoma",NA,"Diatomaceae",NA,NA,NA,NA,NA,NA,"2931",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eunotia","Bacillariophyceae","Eunotiaceae",NA,"Chromista","Eunotiales",NA,"Harosa","2287","3336",NA,"630578","590752",NA,"969910",NA,NA,"Ochrophyta","969917","Halvaria",NA,"969912",NA,"Bacillariophycidae","Heterokonta","969921","969914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fragilaria","Bacillariophyceae","Fragilariaceae","Fragilaria","Chromista","Fragilariales",NA,"Harosa","2287","590787","2932","630578","590750",NA,"969910",NA,NA,"Ochrophyta","969917","Halvaria",NA,"969912",NA,"Fragilariophycidae","Heterokonta","969923","969914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fragilariforma","Bacillariophyceae","Fragilariaceae","Fragilariforma","Chromista","Fragilariales",NA,"Harosa","2287","590787","590826","630578","590750",NA,"969910",NA,NA,"Ochrophyta","969917","Halvaria",NA,"969912",NA,"Fragilariophycidae","Heterokonta","969923","969914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Meridion","Bacillariophyceae","Fragilariaceae","Meridion","Chromista","Fragilariales",NA,"Harosa","2287","590787","3237","630578","590750",NA,"969910",NA,NA,"Ochrophyta","969917","Halvaria",NA,"969912",NA,"Fragilariophycidae","Heterokonta","969923","969914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pseudostaurosira","Bacillariophyceae","Fragilariaceae","Pseudostaurosira","Chromista","Fragilariales",NA,"Harosa","2287","590787","590851","630578","590750",NA,"969910",NA,NA,"Ochrophyta","969917","Halvaria",NA,"969912",NA,"Fragilariophycidae","Heterokonta","969923","969914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Staurosira","Bacillariophyceae","Fragilariaceae","Staurosira","Chromista","Fragilariales",NA,"Harosa","2287","590787","590848","630578","590750",NA,"969910",NA,NA,"Ochrophyta","969917","Halvaria",NA,"969912",NA,"Fragilariophycidae","Heterokonta","969923","969914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Staurosirella","Bacillariophyceae","Fragilariaceae","Staurosirella","Chromista","Fragilariales",NA,"Harosa","2287","590787","590855","630578","590750",NA,"969910",NA,NA,"Ochrophyta","969917","Halvaria",NA,"969912",NA,"Fragilariophycidae","Heterokonta","969923","969914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Synedra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Synedra vaucheriae","2943",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gomphoneis","Bacillariophyceae","Gomphonemataceae","Gomphoneis","Chromista","Cymbellales",NA,"Harosa","2287","4910","4912","630578","590753",NA,"969910",NA,NA,"Ochrophyta","969917","Halvaria",NA,"969912",NA,"Bacillariophycidae","Heterokonta","969921","969914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gomphonema",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gomphonema curvatum","3636",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gomphosphenia","Bacillariophyceae","Rhoicospheniaceae","Gomphosphenia","Chromista","Cymbellales",NA,"Harosa","2287","590777","970028","630578","590753",NA,"969910",NA,NA,"Ochrophyta","969917","Halvaria",NA,"969912",NA,"Bacillariophycidae","Heterokonta","969921","969914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aneumastus","Bacillariophyceae","Mastogloiaceae","Aneumastus","Chromista","Mastogloiales",NA,"Harosa","2287","590775","590857","630578","590739",NA,"969910",NA,NA,"Ochrophyta","969917","Halvaria",NA,"969912",NA,"Bacillariophycidae","Heterokonta","969921","969914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mastogloia","Bacillariophyceae","Mastogloiaceae","Mastogloia","Chromista","Mastogloiales",NA,"Harosa","2287","590775","4549","630578","590739",NA,"969910",NA,NA,"Ochrophyta","969917","Halvaria",NA,"969912",NA,"Bacillariophycidae","Heterokonta","969921","969914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amphiprora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amphiprora vitrea","4663",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diploneis","Bacillariophyceae","Diploneidaceae","Diploneis","Chromista","Naviculales",NA,"Harosa","2287","590789","4325","630578","590737",NA,"969910",NA,NA,"Ochrophyta","969917","Halvaria",NA,"969912",NA,"Bacillariophycidae","Heterokonta","969921","969914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Encyonema","Bacillariophyceae","Cymbellaceae","Encyonema","Chromista","Cymbellales",NA,"Harosa","2287","4704","590838","630578","590753",NA,"969910",NA,NA,"Ochrophyta","969917","Halvaria",NA,"969912",NA,"Bacillariophycidae","Heterokonta","969921","969914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Encyonopsis","Bacillariophyceae","Cymbellaceae","Encyonopsis","Chromista","Cymbellales",NA,"Harosa","2287","4704","970025","630578","590753",NA,"969910",NA,NA,"Ochrophyta","969917","Halvaria",NA,"969912",NA,"Bacillariophycidae","Heterokonta","969921","969914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Entomoneis","Bacillariophyceae","Entomoneidaceae","Entomoneis","Chromista","Surirellales",NA,"Harosa","2287","5412","4699","630578","590740",NA,"969910","Entomoneis ornata","4684","Ochrophyta","969917","Halvaria",NA,"969912",NA,"Bacillariophycidae","Heterokonta","969921","969914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Geissleria","Bacillariophyceae","Naviculaceae","Geissleria","Chromista","Naviculales",NA,"Harosa","2287","3648","590834","630578","590737",NA,"969910",NA,NA,"Ochrophyta","969917","Halvaria",NA,"969912",NA,"Bacillariophycidae","Heterokonta","969921","969914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hippodonta","Bacillariophyceae","Naviculaceae","Hippodonta","Chromista","Naviculales",NA,"Harosa","2287","3648","590841","630578","590737",NA,"969910",NA,NA,"Ochrophyta","969917","Halvaria",NA,"969912",NA,"Bacillariophycidae","Heterokonta","969921","969914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Navicula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Navicula binodis","3284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neidium","Bacillariophyceae","Neidiaceae","Neidium","Chromista","Naviculales",NA,"Harosa","2287","590776","3269","630578","590737",NA,"969910",NA,NA,"Ochrophyta","969917","Halvaria",NA,"969912",NA,"Bacillariophycidae","Heterokonta","969921","969914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Peronia","Bacillariophyceae","Peroniaceae","Peronia","Chromista","Eunotiales",NA,"Harosa","2287","590811","3419","630578","590752",NA,"969910",NA,NA,"Ochrophyta","969917","Halvaria",NA,"969912",NA,"Bacillariophycidae","Heterokonta","969921","969914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caloneis","Bacillariophyceae","Pinnulariaceae","Caloneis","Chromista","Naviculales",NA,"Harosa","2287","590772","4369","630578","590737",NA,"969910",NA,NA,"Ochrophyta","969917","Halvaria",NA,"969912",NA,"Bacillariophycidae","Heterokonta","969921","969914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pinnularia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pinnularia tenuis var. interrupta","4047",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plagiotropis","Bacillariophyceae","Plagiotropidaceae","Plagiotropis","Chromista","Naviculales",NA,"Harosa","2287","590773","555624","630578","590737",NA,"969910",NA,NA,"Ochrophyta","969917","Halvaria",NA,"969912",NA,"Bacillariophycidae","Heterokonta","969921","969914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gyrosigma","Bacillariophyceae","Pleurosigmataceae","Gyrosigma","Chromista","Naviculales",NA,"Harosa","2287","590774","4622","630578","590737",NA,"969910",NA,NA,"Ochrophyta","969917","Halvaria",NA,"969912",NA,"Bacillariophycidae","Heterokonta","969921","969914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pleurosigma","Bacillariophyceae","Pleurosigmataceae","Pleurosigma","Chromista","Naviculales",NA,"Harosa","2287","590774","4592","630578","590737",NA,"969910",NA,NA,"Ochrophyta","969917","Halvaria",NA,"969912",NA,"Bacillariophycidae","Heterokonta","969921","969914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rhoicosphenia","Bacillariophyceae","Rhoicospheniaceae","Rhoicosphenia","Chromista","Cymbellales",NA,"Harosa","2287","590777","3633","630578","590753",NA,"969910",NA,NA,"Ochrophyta","969917","Halvaria",NA,"969912",NA,"Bacillariophycidae","Heterokonta","969921","969914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Epithemia",NA,"Epithemiaceae",NA,NA,NA,NA,NA,NA,"5004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rhopalodia","Bacillariophyceae","Rhopalodiaceae","Rhopalodia","Chromista","Rhopalodiales",NA,"Harosa","2287","590778","5024","630578","590742",NA,"969910",NA,NA,"Ochrophyta","969917","Halvaria",NA,"969912",NA,"Bacillariophycidae","Heterokonta","969921","969914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sellaphora","Bacillariophyceae","Sellaphoraceae",NA,"Chromista","Naviculales",NA,"Harosa","2287","590798",NA,"630578","590737",NA,"969910",NA,NA,"Ochrophyta","969917","Halvaria",NA,"969912",NA,"Bacillariophycidae","Heterokonta","969921","969914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Craticula","Hexactinellida","Craticulariidae",NA,"Animalia","Hexactinosida","Porifera","Radiata","659131","47446",NA,"202423","659144","46861","914153",NA,NA,NA,NA,NA,NA,NA,NA,"Hexasterophora",NA,"47348",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stauroneis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stauroneis crucicula","3783",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Campylodiscus","Bacillariophyceae","Surirellaceae","Campylodiscus","Chromista","Surirellales",NA,"Harosa","2287","5330","5401","630578","590740",NA,"969910",NA,NA,"Ochrophyta","969917","Halvaria",NA,"969912",NA,"Bacillariophycidae","Heterokonta","969921","969914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cymatopleura","Bacillariophyceae","Surirellaceae","Cymatopleura","Chromista","Surirellales",NA,"Harosa","2287","5330","3256","630578","590740",NA,"969910",NA,NA,"Ochrophyta","969917","Halvaria",NA,"969912",NA,"Bacillariophycidae","Heterokonta","969921","969914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stenopterobia","Bacillariophyceae","Surirellaceae","Stenopterobia","Chromista","Surirellales",NA,"Harosa","2287","5330","1087","630578","590740",NA,"969910",NA,NA,"Ochrophyta","969917","Halvaria",NA,"969912",NA,"Bacillariophycidae","Heterokonta","969921","969914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Surirella","Bacillariophyceae","Rhaphoneidaceae","Rhaphoneis","Chromista","Rhaphoneidales",NA,"Harosa","2287","573598","3145","630578","573594",NA,"969910","Rhaphoneis surirella","3146","Ochrophyta","969917","Halvaria",NA,"969912",NA,"Fragilariophycidae","Heterokonta","969923","969914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tabellaria","Chrysophyceae","Dinobryaceae","Epipyxis","Chromista","Ochromonadales",NA,"Chromista","1448","1514","1574","630578","1451",NA,"590735","Epipyxis tabellariae","1587","Chrysophyta","1447",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asterionella","Bacillariophyceae","Fragilariaceae","Asterionella","Chromista","Fragilariales",NA,"Harosa","2287","590787","3116","630578","590750",NA,"969910",NA,NA,"Ochrophyta","969917","Halvaria",NA,"969912",NA,"Fragilariophycidae","Heterokonta","969923","969914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ensiculifera","Dinophyceae","Calciodinellaceae","Ensiculifera","Chromista","Gonyaulacales",NA,"Chromista","9874","10535","573310","630578","573275",NA,"590735",NA,NA,"Pyrrophycophyta","9873",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ceratium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Triceratium alternans","2680",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gymnodinium","Dinophyceae","Gymnodiniaceae","Gymnodinium","Chromista","Gymnodiniales",NA,"Chromista","9874","9996","10031","630578","9994",NA,"590735",NA,NA,"Pyrrophycophyta","9873",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Karlodinium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Katodinium","Dinophyceae","Gymnodiniaceae","Katodinium","Chromista","Gymnodiniales",NA,"Chromista","9874","9996","10104","630578","9994",NA,"590735",NA,NA,"Pyrrophycophyta","9873",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oxyrrhis","Dinophyceae","Pronoctilucaceae","Oxyrrhis","Chromista","Peridiniales",NA,"Chromista","9874","10142","10145","630578","9995",NA,"590735",NA,NA,"Pyrrophycophyta","9873",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glenodinium","Dinophyceae","Glenodiniaceae","Glenodinium","Chromista","Peridiniales",NA,"Chromista","9874","10166","10174","630578","9995",NA,"590735",NA,NA,"Pyrrophycophyta","9873",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Heterocapsa","Dinophyceae","Peridiniaceae","Heterocapsa","Chromista","Peridiniales",NA,"Chromista","9874","10205","10206","630578","9995",NA,"590735",NA,NA,"Pyrrophycophyta","9873",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Peridinium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Protoperidinium bipes","10210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scrippsiella","Dinophyceae","Calciodinellaceae","Scrippsiella","Chromista","Gonyaulacales",NA,"Chromista","9874","10535","10536","630578","573275",NA,"590735",NA,NA,"Pyrrophycophyta","9873",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Protoperidinium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Protoperidinium bipes","10210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cystodinium","Dinophyceae","Phytodiniaceae","Cystodinium","Chromista","Phytodiniales",NA,"Chromista","9874","10550","10567","630578","10549",NA,"590735",NA,NA,"Pyrrophycophyta","9873",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euglena","Euglenophyceae",NA,NA,"Protozoa","Euglenales","Euglenophycota",NA,"9602",NA,NA,"630577","9618","9601",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lepocinclis","Euglenophyceae","Euglenaceae","Lepocinclis","Protozoa","Euglenales","Euglenophycota",NA,"9602","9619","9758","630577","9618","9601",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Monomorphina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phacus","Euglenophyceae","Euglenaceae","Phacus","Protozoa","Euglenales","Euglenophycota",NA,"9602","9619","9766","630577","9618","9601",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Strombomonas","Euglenophyceae","Euglenaceae","Strombomonas","Protozoa","Euglenales","Euglenophycota",NA,"9602","9619","9740","630577","9618","9601",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trachelomonas","Euglenophyceae","Euglenaceae","Trachelomonas","Protozoa","Euglenales","Euglenophycota",NA,"9602","9619","9690","630577","9618","9601",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eutreptia","Euglenophyceae",NA,NA,"Protozoa","Eutreptiales","Euglenophycota",NA,"9602",NA,NA,"630577","9603","9601",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pseudostaurastrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chromulina","Chrysophyceae","Chromulinaceae",NA,"Chromista","Chromalinales",NA,"Chromista","1448","1715",NA,"630578","1714",NA,"590735",NA,NA,"Chrysophyta","1447",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
