"phylum","subphylum","class","subclass","order","family","genus","genus_new","authority","sp07","sp12","flag","note","link"
"Cyanobacteria","","Cyanophyceae","Oscillatoriophycidae","Chroococcales","Aphanothecaceae","Gloeothece","","C.Nägeli, 1849","Gloeothece","Gloeothece; Gloeothece subtilis","","",""
"Cyanobacteria","","Cyanophyceae","Synechococcophycidae","Synechococcales","Synechococcoideae","Rhabdoderma","","Schmidle & Lauterborn, 1900","Rhabdoderma; Rhabdoderma lineare","Rhabdoderma; Rhabdoderma lineare","","",""
"Cyanobacteria","","Cyanophyceae","Oscillatoriophycidae","Chroococcales","Microcystaceae","Rhabdogloea","Dactylococcopsis","B.Schröder, 1917",NA,"Rhabdogloea; Rhabdogloea linearis; Rhabdogloea smithii","","",""
"Cyanobacteria","","Cyanophyceae","Synechococcophycidae","Synechococcales","Synechococcaceae","Synechococcus","","C.Nägeli, 1849","Synechococcus; Synechococcus linearis; Synechococcus minutus","Synechococcus; Synechococcus nidulans","","",""
"Cyanobacteria","","Cyanophyceae","Nostocophycidae","Nostocales","Tolypothrichaceae","Tolypothrix","","Kützing ex É.Bornet & C.Flahault, 1886",NA,"Tolypothrix; Tolypothrix tenuis","","",""
"Cyanobacteria","","Cyanophyceae","Nostocophycidae","Nostocales","Nostocaceae","Anabaena","","Bory ex Bornet & Flahault, 1886","Anabaena; Anabaena affinis; Anabaena circinalis; Anabaena circinalis macrospora; Anabaena flosaquae; Anabaena smithii; Anabaena spiroides crassa; Anabaena subcylindrica; Anabaena viguieri; Anabaena wisconsinense","Anabaena; Anabaena aequalis; Anabaena affinis; Anabaena angstumalis; Anabaena carmichaelii; Anabaena circinalis; Anabaena compacta; Anabaena crassa; Anabaena cylindrica; Anabaena flos-aquae; Anabaena inaequalis; Anabaena lemmermannii; Anabaena limnetica; Anabaena longicellularis; Anabaena planctonica; Anabaena pseudocompacta; Anabaena sigmoidea; Anabaena smithii; Anabaena solitaria; Anabaena spiroides; Anabaena subcylindrica; Anabaena torulosa; Anabaena variabilis; Anabaena wisconsinensis","","","http://algaebase.org/search/genus/detail/?genus_id=c9d14abc6858548dd&sk=0"
"Cyanobacteria","","Cyanophyceae","Nostocophycidae","Nostocales","Aphanizomenonaceae","Anabaenopsis","","V.V.Miller, 1923","Anabaenopsis; Anabaenopsis elenkinii","Anabaenopsis; Anabaenopsis circularis; Anabaenopsis elenkenii; Anabaenopsis tanganyikae","","","http://algaebase.org/search/genus/detail/?genus_id=U4ecd2d85454eff96&-session=abv4:CC2E5C920c81127EDFth25D6836A"
"Cyanobacteria","","Cyanophyceae","Nostocophycidae","Nostocales","Aphanizomenonaceae","Aphanizomenon","","A.Morren ex É.Bornet & C.Flahault, 1886 '1888'","Aphanizomenon; Aphanizomenon aphanizomenoides; Aphanizomenon flosaquae","Aphanizomenon; Aphanizomenon aphanizomenoides; Aphanizomenon capricorni; Aphanizomenon flos-aquae; Aphanizomenon gracile; Aphanizomenon issatschenkoi; Aphanizomenon yezoense","","","http://algaebase.org/search/genus/detail/?genus_id=k11b76567ee4e6dff&-session=abv4:CC2E5C920c81127EDFth25D6836A"
"Cyanobacteria","","Cyanophyceae","Nostocophycidae","Nostocales","Aphanizomenonaceae","Cylindrospermopsis","","G.Seenayya & N.Subba Raju, 1972","Cylindrospermopsis","Cylindrospermopsis; Cylindrospermopsis phillipinensis; Cylindrospermopsis raciborskii","","",""
"Cyanobacteria","","Cyanophyceae","Nostocophycidae","Nostocales","Nostocaceae","Cylindrospermum","","Kützing ex É.Bornet & C.Flahault, 1886","Cylindrospermum","Cylindrospermum","","",""
