DATA_COLUMN,parameter,column_name,description
DOC_LAB_FLAG,doc,lab_flag,Flag from laboratory for Dissolved Organic Carbon
DOC_LAB_SAMPLE_ID,doc,lab_sample_id,Laboratory Sample ID for Dissolved Organic Carbon
DOC_MDL,doc,mdl,Minimum detection limit of analyte for Dissolved Organic Carbon
DOC_QA_FLAG,doc,qa_flag,QA flag associated with sample for Dissolved Organic Carbon
DOC_RESULT,doc,result,Analyte value for Dissolved Organic Carbon
DOC_RL,doc,rl,Reporting limit for Dissolved Organic Carbon
DOC_UNITS,doc,units,Units for Dissolved Organic Carbon
MAGNESIUM_BATCH_ID,magnesium,batch_id,Batch ID from lab for Magnesium
MAGNESIUM_DATE_ANALYZED,magnesium,date_analyzed,Date of sample analysis for Magnesium
MAGNESIUM_FLAG,magnesium,flag,Flag for Magnesium
MAGNESIUM_HOLDING_TIME,magnesium,ht,Sample holding time for Magnesium
MAGNESIUM_LAB_FLAG,magnesium,lab_flag,Flag from laboratory for Magnesium
MAGNESIUM_LAB_SAMPLE_ID,magnesium,lab_sample_id,Laboratory Sample ID for Magnesium
MAGNESIUM_MDL,magnesium,mdl,Minimum detection limit of analyte for Magnesium
MAGNESIUM_QA_FLAG,magnesium,qa_flag,QA flag associated with sample for Magnesium
MAGNESIUM_RESULT,magnesium,result,Analyte value for Magnesium
MAGNESIUM_RL,magnesium,rl,Reporting limit for Magnesium
MAGNESIUM_UNITS,magnesium,units,Units for Magnesium
NITRATE_N_BATCH_ID,nitrate_n,batch_id,Batch ID from lab for Nitrate as N
NITRATE_N_DATE_ANALYZED,nitrate_n,date_analyzed,Date of sample analysis for Nitrate as N
NITRATE_N_FLAG,nitrate_n,flag,Flag for Nitrate as N
NITRATE_N_HOLDING_TIME,nitrate_n,ht,Sample holding time for Nitrate as N
NITRATE_N_LAB_FLAG,nitrate_n,lab_flag,Flag from laboratory for Nitrate as N
NITRATE_N_LAB_SAMPLE_ID,nitrate_n,lab_sample_id,Laboratory Sample ID for Nitrate as N
NITRATE_N_MDL,nitrate_n,mdl,Minimum detection limit of analyte for Nitrate as N
NITRATE_N_QA_FLAG,nitrate_n,qa_flag,QA flag associated with sample for Nitrate as N
NITRATE_N_RESULT,nitrate_n,result,Analyte value for Nitrate as N
NITRATE_N_RL,nitrate_n,rl,Reporting limit for Nitrate as N
NITRATE_N_UNITS,nitrate_n,units,Units for Nitrate as N
NITRATE_NITRITE_N_BATCH_ID,nitrate_nitrite_n,batch_id,Batch ID from lab for Nitrate + Nitrite as N
NITRATE_NITRITE_N_DATE_ANALYZED,nitrate_nitrite_n,date_analyzed,Date of sample analysis for Nitrate + Nitrite as N
NITRATE_NITRITE_N_FLAG,nitrate_nitrite_n,flag,Flag for Nitrate + Nitrite as N
NITRATE_NITRITE_N_HOLDING_TIME,nitrate_nitrite_n,ht,Sample holding time for Nitrate + Nitrite as N
NITRATE_NITRITE_N_LAB_FLAG,nitrate_nitrite_n,lab_flag,Flag from laboratory for Nitrate + Nitrite as N
NITRATE_NITRITE_N_LAB_SAMPLE_ID,nitrate_nitrite_n,lab_sample_id,Laboratory Sample ID for Nitrate + Nitrite as N
NITRATE_NITRITE_N_MDL,nitrate_nitrite_n,mdl,Minimum detection limit of analyte for Nitrate + Nitrite as N
NITRATE_NITRITE_N_QA_FLAG,nitrate_nitrite_n,qa_flag,QA flag associated with sample for Nitrate + Nitrite as N
NITRATE_NITRITE_N_RESULT,nitrate_nitrite_n,result,Analyte value for Nitrate + Nitrite as N
NITRATE_NITRITE_N_RL,nitrate_nitrite_n,rl,Reporting limit for Nitrate + Nitrite as N
NITRATE_NITRITE_N_UNITS,nitrate_nitrite_n,units,Units for Nitrate + Nitrite as N
NITRITE_N_BATCH_ID,nitrite_n,batch_id,Batch ID from lab for Nitrite as N
NITRITE_N_DATE_ANALYZED,nitrite_n,date_analyzed,Date of sample analysis for Nitrite as N
NITRITE_N_HOLDING_TIME,nitrite_n,ht,Sample holding time for Nitrite as N
NITRITE_N_LAB_FLAG,nitrite_n,lab_flag,Flag from laboratory for Nitrite as N
NITRITE_N_LAB_SAMPLE_ID,nitrite_n,lab_sample_id,Laboratory Sample ID for Nitrite as N
NITRITE_N_MDL,nitrite_n,mdl,Minimum detection limit of analyte for Nitrite as N
NITRITE_N_QA_FLAG,nitrite_n,qa_flag,QA flag associated with sample for Nitrite as N
NITRITE_N_RESULT,nitrite_n,result,Analyte value for Nitrite as N
NITRITE_N_RL,nitrite_n,rl,Reporting limit for Nitrite as N
NITRITE_N_UNITS,nitrite_n,units,Units for Nitrite as N
NTL_BATCH_ID,ntl,batch_id,Batch ID from lab for Total Nitrogen
NTL_DATE_ANALYZED,ntl,date_analyzed,Date of sample analysis for Total Nitrogen
NTL_FLAG,ntl,flag,Flag for Total Nitrogen
NTL_HOLDING_TIME,ntl,ht,Sample holding time for Total Nitrogen
NTL_LAB_FLAG,ntl,lab_flag,Flag from laboratory for Total Nitrogen
NTL_LAB_SAMPLE_ID,ntl,lab_sample_id,Laboratory Sample ID for Total Nitrogen
NTL_MDL,ntl,mdl,Minimum detection limit of analyte for Total Nitrogen
NTL_QA_FLAG,ntl,qa_flag,QA flag associated with sample for Total Nitrogen
NTL_RESULT,ntl,result,Analyte value for Total Nitrogen
NTL_RL,ntl,rl,Reporting limit for Total Nitrogen
NTL_UNITS,ntl,units,Units for Total Nitrogen
PH_BATCH_ID,ph,batch_id,Batch ID from lab for pH
PH_DATE_ANALYZED,ph,date_analyzed,Date of sample analysis for pH
PH_FLAG,ph,flag,Flag for pH
PH_HOLDING_TIME,ph,ht,Sample holding time for pH
PH_LAB_FLAG,ph,lab_flag,Flag from laboratory for pH
PH_LAB_SAMPLE_ID,ph,lab_sample_id,Laboratory Sample ID for pH
PH_QA_FLAG,ph,qa_flag,QA flag associated with sample for pH
PH_RESULT,ph,result,Analyte value for pH
PH_UNITS,ph,units,Units for pH
POTASSIUM_BATCH_ID,potassium,batch_id,Batch ID from lab for Potassium
POTASSIUM_DATE_ANALYZED,potassium,date_analyzed,Date of sample analysis for Potassium
POTASSIUM_FLAG,potassium,flag,Flag for Potassium
POTASSIUM_HOLDING_TIME,potassium,ht,Sample holding time for Potassium
POTASSIUM_LAB_FLAG,potassium,lab_flag,Flag from laboratory for Potassium
POTASSIUM_LAB_SAMPLE_ID,potassium,lab_sample_id,Laboratory Sample ID for Potassium
POTASSIUM_MDL,potassium,mdl,Minimum detection limit of analyte for Potassium
POTASSIUM_QA_FLAG,potassium,qa_flag,QA flag associated with sample for Potassium
POTASSIUM_RESULT,potassium,result,Analyte value for Potassium
POTASSIUM_RL,potassium,rl,Reporting limit for Potassium
POTASSIUM_UNITS,potassium,units,Units for Potassium
PTL_BATCH_ID,ptl,batch_id,Batch ID from lab for Total Phosphorus
PTL_DATE_ANALYZED,ptl,date_analyzed,Date of sample analysis for Total Phosphorus
PTL_FLAG,ptl,flag,Flag for Total Phosphorus
PTL_HOLDING_TIME,ptl,ht,Sample holding time for Total Phosphorus
PTL_LAB_FLAG,ptl,lab_flag,Flag from laboratory for Total Phosphorus
PTL_LAB_SAMPLE_ID,ptl,lab_sample_id,Laboratory Sample ID for Total Phosphorus
PTL_MDL,ptl,mdl,Minimum detection limit of analyte for Total Phosphorus
PTL_QA_FLAG,ptl,qa_flag,QA flag associated with sample for Total Phosphorus
PTL_RESULT,ptl,result,Analyte value for Total Phosphorus
PTL_RL,ptl,rl,Reporting limit for Total Phosphorus
PTL_UNITS,ptl,units,Units for Total Phosphorus
SILICA_BATCH_ID,silica,batch_id,Batch ID from lab for Silica
SILICA_DATE_ANALYZED,silica,date_analyzed,Date of sample analysis for Silica
SILICA_FLAG,silica,flag,Flag for Silica
SILICA_HOLDING_TIME,silica,ht,Sample holding time for Silica
SILICA_LAB_FLAG,silica,lab_flag,Flag from laboratory for Silica
SILICA_LAB_SAMPLE_ID,silica,lab_sample_id,Laboratory Sample ID for Silica
SILICA_MDL,silica,mdl,Minimum detection limit of analyte for Silica
SILICA_QA_FLAG,silica,qa_flag,QA flag associated with sample for Silica
SILICA_RESULT,silica,result,Analyte value for Silica
SILICA_RL,silica,rl,Reporting limit for Silica
SILICA_UNITS,silica,units,Units for Silica
SODIUM_BATCH_ID,sodium,batch_id,Batch ID from lab for Sodium
SODIUM_DATE_ANALYZED,sodium,date_analyzed,Date of sample analysis for Sodium
SODIUM_FLAG,sodium,flag,Flag for Sodium
SODIUM_HOLDING_TIME,sodium,ht,Sample holding time for Sodium
SODIUM_LAB_SAMPLE_ID,sodium,lab_sample_id,Laboratory Sample ID for Sodium
SODIUM_MDL,sodium,mdl,Minimum detection limit of analyte for Sodium
SODIUM_QA_FLAG,sodium,qa_flag,QA flag associated with sample for Sodium
SODIUM_RESULT,sodium,result,Analyte value for Sodium
SODIUM_RL,sodium,rl,Reporting limit for Sodium
SODIUM_UNITS,sodium,units,Units for Sodium
SULFATE_BATCH_ID,sulfate,batch_id,Batch ID from lab for Sulfate
SULFATE_DATE_ANALYZED,sulfate,date_analyzed,Date of sample analysis for Sulfate
