survey,indicator,dataset,data,metadata,csv_data,csv_meta
nla2012,Phytoplankton,phyto_count,"NLA 2012 Phytoplankton Count - Data (CSV)(1 pg, 9 MB)","NLA 2012 Phytoplankton Count - Metadata (TXT)(1 pg, 3 K)",TRUE,FALSE
nla2012,Phytoplankton,phyto_taxa,"NLA 2012 Phytoplankton Taxa List - Data (CSV)(1 pg, 126 K)","NLA 2012 Phytoplankton Taxa List - Metadata (TXT)(1 pg, 728 B)",TRUE,FALSE
nla2012,Water Chemistry,profile,"NLA 2012 Profile - Data (CSV)(1 pg, 3 MB)","NLA 2012 Profile - Metadata (TXT)(1 pg, 4 K)",TRUE,FALSE
nla2012,Secchi,secchi,"NLA 2012 Secchi - Data (CSV)(1 pg, 97 K)","NLA 2012 Secchi - Metadata (TXT)(1 pg, 988 B)",TRUE,FALSE
nla2012,Sediment,sediment_hg,"NLA 2012 Sediment Mercury - Data (CSV)(1 pg, 100 K)","NLA 2012 Sediment Mercury - Metadata (TXT)(1 pg, 1 K)",TRUE,FALSE
nla2012,Site Information,site_info,"NLA 2012 Site Information - Data (CSV)(1 pg, 2 MB)","NLA 2012 Site Information - Metadata (TXT)(1 pg, 17 K)",TRUE,FALSE
nla2012,Water Chemistry,waterchem,"NLA 2012 Water Chemistry - Data (CSV)(1 pg, 1 MB)","NLA 2012 Water Chemistry - Metadata (TXT)(1 pg, 14 K)",TRUE,FALSE
nla2012,Zooplankton,zoop_count,"NLA 2012 Zooplankton Count - Data (CSV)(1 pg, 7 MB)","NLA 2012 Zooplankton Count - Metadata (TXT)(1 pg, 2 K)",TRUE,FALSE
nla2012,Zooplankton,zoop_metrics,"NLA 2012 Zooplankton Metrics - Data (CSV)(1 pg, 1 MB)","NLA 2012 Zooplankton Metrics - Metadata (TXT)(1 pg, 33 K)",TRUE,FALSE
nla2012,Zooplankton,zoop_taxa,"NLA 2012 Zooplankton Taxa List - Data (CSV)(1 pg, 71 K)","NLA 2012 Zooplankton Taxa List - Metadata (TXT)(1 pg, 1 K)",TRUE,FALSE
