"SAMPLE_TYPE","DATA_COLUMN","LABEL","LEGAL_VALUES","RANGE_HIGH","RANGE_LOW","UNITS"
"CHEM","NITRATE_N_FLAG","Flag for Nitrate as N",NA,NA,NA,NA
"CHEM","NITRATE_N_UNITS","Units for Nitrate as N",NA,NA,NA,NA
"CHEM","NITRATE_N_LAB_SAMPLE_ID","Laboratory Sample ID for Nitrate as N",NA,NA,NA,NA
"CHEM","NITRATE_N_LAB_FLAG","Flag from laboratory for Nitrate as N",NA,NA,NA,NA
"CHEM","NITRATE_NITRITE_N_DATE_ANALYZED","Date of sample analysis for Nitrate + Nitrite as N",NA,NA,NA,NA
"CHEM","NITRATE_NITRITE_N_HOLDING_TIME","Sample holding time for Nitrate + Nitrite as N",NA,NA,NA,NA
"CHEM","NITRATE_NITRITE_N_MDL","Minimum detection limit of analyte for Nitrate + Nitrite as N",NA,NA,NA,NA
"CHEM","NITRATE_NITRITE_N_QA_FLAG","QA flag associated with sample for Nitrate + Nitrite as N",NA,NA,NA,NA
"CHEM","NITRATE_NITRITE_N_RESULT","Analyte value for Nitrate + Nitrite as N",NA,NA,NA,NA
"CHEM","NITRATE_NITRITE_N_RL","Reporting limit for Nitrate + Nitrite as N",NA,NA,NA,NA
"CHEM","NITRATE_NITRITE_N_BATCH_ID","Batch ID from lab for Nitrate + Nitrite as N",NA,NA,NA,NA
"CHEM","NITRATE_NITRITE_N_FLAG","Flag for Nitrate + Nitrite as N",NA,NA,NA,NA
"CHEM","NITRATE_NITRITE_N_UNITS","Units for Nitrate + Nitrite as N",NA,NA,NA,NA
"CHEM","NITRATE_NITRITE_N_LAB_SAMPLE_ID","Laboratory Sample ID for Nitrate + Nitrite as N",NA,NA,NA,NA
"CHEM","NITRATE_NITRITE_N_LAB_FLAG","Flag from laboratory for Nitrate + Nitrite as N",NA,NA,NA,NA
"CHEM","NITRITE_N_DATE_ANALYZED","Date of sample analysis for Nitrite as N",NA,NA,NA,NA
"CHEM","NITRITE_N_HOLDING_TIME","Sample holding time for Nitrite as N",NA,NA,NA,NA
"CHEM","NITRITE_N_MDL","Minimum detection limit of analyte for Nitrite as N",NA,NA,NA,NA
"CHEM","NITRITE_N_QA_FLAG","QA flag associated with sample for Nitrite as N",NA,NA,NA,NA
"CHEM","NITRITE_N_RESULT","Analyte value for Nitrite as N",NA,NA,NA,NA
"CHEM","NITRITE_N_RL","Reporting limit for Nitrite as N",NA,NA,NA,NA
"CHEM","NITRITE_N_BATCH_ID","Batch ID from lab for Nitrite as N",NA,NA,NA,NA
"CHEM","NITRITE_N_UNITS","Units for Nitrite as N",NA,NA,NA,NA
"CHEM","NITRITE_N_LAB_SAMPLE_ID","Laboratory Sample ID for Nitrite as N",NA,NA,NA,NA
"CHEM","NITRITE_N_LAB_FLAG","Flag from laboratory for Nitrite as N",NA,NA,NA,NA
"CHEM","SILICA_DATE_ANALYZED","Date of sample analysis for Silica",NA,NA,NA,NA
"CHEM","SILICA_HOLDING_TIME","Sample holding time for Silica",NA,NA,NA,NA
"CHEM","SILICA_MDL","Minimum detection limit of analyte for Silica",NA,NA,NA,NA
"CHEM","SILICA_QA_FLAG","QA flag associated with sample for Silica",NA,NA,NA,NA
"CHEM","SILICA_RESULT","Analyte value for Silica",NA,NA,NA,NA
"CHEM","SILICA_RL","Reporting limit for Silica",NA,NA,NA,NA
"CHEM","SILICA_BATCH_ID","Batch ID from lab for Silica",NA,NA,NA,NA
"CHEM","SILICA_FLAG","Flag for Silica",NA,NA,NA,NA
"CHEM","SILICA_UNITS","Units for Silica",NA,NA,NA,NA
"CHEM","SILICA_LAB_SAMPLE_ID","Laboratory Sample ID for Silica",NA,NA,NA,NA
"CHEM","SILICA_LAB_FLAG","Flag from laboratory for Silica",NA,NA,NA,NA
"CHEM","SULFATE_DATE_ANALYZED","Date of sample analysis for Sulfate",NA,NA,NA,NA
"CHEM","SULFATE_HOLDING_TIME","Sample holding time for Sulfate",NA,NA,NA,NA
"CHEM","SULFATE_MDL","Minimum detection limit of analyte for Sulfate",NA,NA,NA,NA
"CHEM","SULFATE_QA_FLAG","QA flag associated with sample for Sulfate",NA,NA,NA,NA
"CHEM","SULFATE_RESULT","Analyte value for Sulfate",NA,NA,NA,NA
"CHEM","SULFATE_RL","Reporting limit for Sulfate",NA,NA,NA,NA
"CHEM","SULFATE_BATCH_ID","Batch ID from lab for Sulfate",NA,NA,NA,NA
"CHEM","SULFATE_FLAG","Flag for Sulfate",NA,NA,NA,NA
"CHEM","SULFATE_UNITS","Units for Sulfate",NA,NA,NA,NA
"CHEM","SULFATE_LAB_SAMPLE_ID","Laboratory Sample ID for Sulfate",NA,NA,NA,NA
"CHEM","SULFATE_LAB_FLAG","Flag from laboratory for Sulfate",NA,NA,NA,NA
"CHEM","ALUMINUM_DATE_ANALYZED","Date of sample analysis for Aluminum",NA,NA,NA,NA
"CHEM","ALUMINUM_HOLDING_TIME","Sample holding time for Aluminum",NA,NA,NA,NA
"CHEM","ALUMINUM_MDL","Minimum detection limit of analyte for Aluminum",NA,NA,NA,NA
