usgs_id,site_ID,sample_id,visit_id,visit_no,sample_category,cylindrospermopsin,microcystin,saxitoxin
MM-11606A,NLA06608-1496,507933,8338,1,P,0,0,0
MM-11603A,NLA06608-1560,507943,8360,1,P,0,0.24,0
MM-10196A,NLA06608-1623,514623,8382,1,P,0,0.14,0
MM-10202A,NLA06608-1630,515243,8384,1,P,0,0,0
MM-12103A,NLA06608-1672,507263,8397,1,P,0,0,0
MM-12108A,NLA06608-1715,503993,8413,1,P,0,0,0
MM-11847A,NLA06608-1992,514783,8493,1,P,0,2.2,0
MM-11608A,NLA06608-2072,514603,8508,1,P,0,0.1,0
MM-10198A,NLA06608-2094,514313,8518,1,P,0,0,0
MM-10199A,NLA06608-2120,511823,8527,1,P,0,0,0
MM-11017A,NLA06608-2663,514823,8602,1,P,0.07,4.3,0
MM-11611A,NLA06608-2696,514693,8605,1,P,0,0.21,0
MM-12114A,NLA06608-2704,507783,8606,1,P,0,0.55,0
MM-12109A,NLA06608-2759,508933,8614,1,P,0,0,0
MM-12110A,NLA06608-2776,516283,8615,1,P,3.4,0,0
MM-11020A,NLA06608-2807,513813,8622,1,P,0,0,0
MM-12104A,NLA06608-2924,507053,8634,1,P,0.94,0,0
MM-12105A,NLA06608-2996,509173,8639,1,P,0,0,0
MM-12112A,NLA06608-3032,516313,8640,1,P,0,0,0
MM-11021A,NLA06608-3083,509383,8642,1,P,0,0,0
MM-12113A,NLA06608-3096,516843,8643,1,P,1,0,0
MM-12116A,NLA06608-3228,516863,8650,1,P,0,0,0
MM-12106A,NLA06608-3303,514643,8652,1,P,0,0,0
MM-11404A,NLA06608-TX:10,516893,8906,1,P,0.12,0,0
MM-11403A,NLA06608-TX:14,511183,8907,1,P,0.18,0,0
MM-11402A,NLA06608-TX:15,512073,8908,1,P,0.36,0,0
MM-11406A,NLA06608-TX:19,516743,8909,1,P,0,0,0
MM-11407A,NLA06608-TX:22,516783,8910,1,P,0,0,0
MM-11401A,NLA06608-TX:27,511173,8911,1,P,0,0,0
MM-11405A,NLA06608-TX:29,517243,8912,1,P,0.14,0,0
MM-11408A,NLA06608-TX:30,516713,8913,1,P,0,0,0
MM-11400A,NLA06608-TX:5,511243,8914,1,P,0,0,0
MM-09477A,NLA06608-0105,502393,7592,1,P,0,0,0
MM-11505A,NLA06608-0105,510983,7593,2,P,0,0,0
MM-09476A,NLA06608-0105,502403,7592,1,D,0,0,0
MM-11498A,NLA06608-0105,511133,7593,2,D,0,0,0.02
MM-09472A,NLA06608-0169,502343,7634,1,P,0,0,0
MM-11497A,NLA06608-0169,509853,7635,2,P,0,0.32,0
MM-09474A,NLA06608-0169,502373,7634,1,D,0,0,0
MM-11493A,NLA06608-0425,504023,7793,1,P,0,1.7,0
MM-11501A,NLA06608-0637,512193,7913,1,P,0,0,0.02
MM-11486A,NLA06608-0671,510333,7929,1,P,0,0,0
MM-11499A,NLA06608-0825,511753,8009,1,P,0,15,0
MM-11487A,NLA06608-0850,508013,8023,1,P,0,0,0
MM-11500A,NLA06608-0927,511593,8067,1,P,0,0,0.02
MM-09470A,NLA06608-0962,510363,8084,1,P,0,0,0
MM-11495A,NLA06608-1119,504253,8159,1,P,0,0,0
MM-09473A,NLA06608-1170,502363,8183,1,P,0,0,0
MM-11496A,NLA06608-1183,509463,8190,1,P,0,0,0
MM-11502A,NLA06608-1321,511803,8252,1,P,0,0,0
MM-09475A,NLA06608-1439,502383,8313,1,P,0,0,0
MM-11494A,NLA06608-1631,511633,8385,1,P,0,4.8,0
MM-11491A,NLA06608-1695,511033,8405,1,P,0,0,0
MM-11488A,NLA06608-1753,511043,8426,1,P,0,0,0
MM-09471A,NLA06608-1810,508113,8446,1,P,0,0,0
MM-11492A,NLA06608-1874,504063,8469,1,P,0,0,0
MM-11503A,NLA06608-2322,511993,8556,1,P,0,0,0
MM-11504A,NLA06608-2345,511403,8559,1,P,0,0,0
MM-11485A,NLA06608-2429,509333,8569,1,P,0,0,0
MM-11489A,NLA06608-2457,511113,8573,1,P,0,0,0
MM-09469A,NLA06608-2463,502253,8574,1,P,0,0,0
MM-11506A,NLA06608-2655,511013,8600,1,P,0,0,0
MM-11490A,NLA06608-2685,511413,8604,1,P,0,0,0
