"parameter"
"ANC"
"CA"
"CL"
"COLOR"
"COND"
"DOC"
"K"
"MG"
"SODIUM"
"NH4"
"NO3"
"NO3NO2"
"NTL"
"PH_LAB"
"PTL"
"SIO2"
"SO4"
"TOC"
"TURB"
"CHLA"
"ANDEF2"
"ANSUM2"
"BALANCE2"
"CA_PPM"
"CATSUM"
"CL_PPM"
"CONCAL2"
"CONDHO2"
"H"
"K_PPM"
"MG_PPM"
"SODIUM_PPM"
"NH4ION"
"NH4N_PPM"
"NO3N_PPM"
"NTL_PPM"
"OH"
"ORGION"
"PH_FIELD"
"secchi"
"SO4_PPM"
"SOBC"
