"x"
"1",6300
"2",7374
"3",7228
"4",7292
"5",7368
"6",6267
"7",7394
"8",7375
"9",7769
"10",7459
"11",7291
"12",7376
"13",7392
"14",8021
"15",8144
"16",8217
"17",7812
"18",7409
"19",8022
"20",8121
"21",7811
"22",8145
"23",6187
"24",6612
"25",8648
"26",7821
"27",8218
"28",7475
"29",6192
"30",8219
"31",6281
"32",6195
"33",8198
"34",7290
"35",8320
"36",8016
"37",8251
"38",8183
"39",8153
"40",7020
"41",8759
"42",8264
"43",7916
"44",8483
"45",7126
"46",6250
"47",8466
"48",7796
"49",7341
"50",7937
"51",7424
"52",6559
"53",7740
"54",6659
"55",7989
"56",7563
"57",6596
"58",7988
"59",8424
"60",8148
"61",6160
"62",7529
"63",7229
"64",8265
"65",6642
"66",7423
"67",7263
"68",6235
"69",6279
"70",6558
"71",7064
"72",8333
"73",7712
"74",7208
"75",7366
"76",8076
"77",8149
"78",8398
"79",8779
"80",7338
"81",7396
"82",7379
"83",7289
"84",7230
"85",1000057
"86",7254
"87",7200
"88",7172
"89",7173
"90",8129
"91",6795
"92",8505
"93",8596
"94",8325
"95",7325
"96",8297
"97",6976
"98",8184
"99",6342
"100",8477
"101",6874
"102",7102
"103",7686
"104",7322
"105",7684
"106",6753
"107",7476
"108",8414
"109",7395
"110",7957
"111",6875
"112",8025
"113",7827
"114",8258
"115",7768
"116",8334
"117",8282
"118",6689
"119",8298
"120",6854
"121",7800
"122",7091
"123",8500
"124",7450
"125",7953
"126",6813
"127",8412
"128",7224
"129",7582
"130",7729
"131",8654
"132",6838
"133",7972
"134",8115
"135",6780
"136",8620
"137",8592
"138",8469
"139",6212
"140",8062
"141",6222
"142",7826
"143",7530
"144",6233
"145",7839
"146",6232
"147",6228
"148",7531
"149",7836
"150",6231
"151",7908
"152",6251
"153",6218
"154",8061
"155",7909
"156",7814
"157",8060
"158",8026
"159",1000190
"160",7532
"161",6293
"162",8277
"163",7307
"164",8122
"165",7453
"166",7021
"167",6585
"168",7791
"169",6226
"170",7993
"171",8316
"172",6889
"173",8178
"174",7461
"175",8027
"176",6604
"177",7242
"178",7462
"179",6789
"180",7017
"181",6530
"182",6768
"183",6416
"184",6660
"185",6848
"186",6541
"187",7371
"188",7041
"189",6464
"190",7125
"191",6915
"192",6977
"193",6815
"194",6840
"195",6783
"196",6959
"197",7761
"198",7164
"199",1000069
"200",7671
"201",7189
"202",1000019
"203",7167
"204",1000029
"205",7549
"206",1000030
"207",7163
"208",7913
"209",6958
"210",7188
"211",7588
"212",6940
"213",7477
"214",1000122
"215",7413
"216",1000068
"217",1000067
"218",1000025
"219",7478
"220",7187
"221",7533
"222",6937
"223",6971
"224",1000160
"225",6823
"226",7590
"227",7587
"228",1000170
"229",7168
"230",6970
"231",7412
"232",1000137
"233",7479
"234",1000126
"235",1000159
"236",1000169
"237",1000158
"238",8327
